orderid, regionid, systemid, stationid, typeid, bid, price, minvolume, volremain, volenter, issued, duration, range, reportedby, reportedtime
899808971 , 10000064 , 30004969 , 60011740 , 37 , 0 , 74.99 , 1 , 757635 , 757635 , 2008-10-28 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
895859907 , 10000064 , 30004969 , 60011737 , 37 , 0 , 75.0 , 1 , 17823 , 82523 , 2008-10-24 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.89 ,
900012917 , 10000064 , 30004969 , 60011740 , 37 , 0 , 75.0 , 1 , 95479 , 95479 , 2008-10-28 00:00:00.00 , 7:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
895253932 , 10000064 , 30004970 , 60010786 , 37 , 0 , 79.45 , 1 , 182836 , 182836 , 2008-10-23 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
880839051 , 10000064 , 30004971 , 60014689 , 37 , 0 , 79.98 , 1 , 191955 , 231963 , 2008-10-22 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
887196718 , 10000064 , 30004972 , 60011734 , 37 , 0 , 79.98 , 1 , 406241 , 545614 , 2008-10-24 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
855917961 , 10000064 , 30004967 , 60011749 , 37 , 0 , 79.99 , 1 , 386307 , 788898 , 2008-09-11 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.90 ,
846474153 , 10000064 , 30004967 , 60012007 , 37 , 0 , 80.0 , 1 , 11126 , 155369 , 2008-09-01 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
899458277 , 10000064 , 30004972 , 60011734 , 37 , 0 , 80.0 , 1 , 9 , 9 , 2008-10-27 00:00:00.00 , 3:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
892664004 , 10000064 , 30004970 , 60012010 , 37 , 0 , 82.0 , 1 , 38623 , 39626 , 2008-10-20 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
877628020 , 10000064 , 30004968 , 60011746 , 37 , 0 , 84.99 , 1 , 46993 , 53194 , 2008-10-26 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
898688441 , 10000064 , 30004969 , 60011740 , 37 , 0 , 99.95 , 1 , 9982399 , 10000000 , 2008-10-27 00:00:00.00 , 90:00:00:00.00 , 32767 , 0 , 2008-10-29 00:05:25.91 ,
